r,parity_prefix_int,parity_prefix_bin,popcount
25919,717631,10101111001100111111,14
25927,486359,01110110101111010111,14
25959,452087,01101110010111110111,14
25983,613503,10010101110001111111,13
26047,212927,00110011111110111111,15
26079,588703,10001111101110011111,14
26095,643823,10011101001011101111,13
26111,225791,00110111000111111111,14
26159,720815,10101111111110101111,16
26203,686523,10100111100110111011,13
26215,367863,01011001110011110111,13
26239,702335,10101011011101111111,15
26271,470495,01110010110111011111,14
26395,958459,11101001111111111011,16
26471,784375,10111111011111110111,17
26479,765551,10111010111001101111,14
26623,653311,10011111011111111111,17
26687,450111,01101101111000111111,14
26715,176059,00101010111110111011,13
26727,187127,00101101101011110111,13
26735,653167,10011111011101101111,15
26751,178559,00101011100101111111,13
26783,446431,01101100111111011111,15
26791,432055,01101001011110110111,13
26831,585167,10001110110111001111,13
26863,416751,01100101101111101111,14
26879,239871,00111010100011111111,13
26951,315351,01001100111111010111,13
26983,96759,00010111100111110111,13
27071,814015,11000110101110111111,14
27087,522959,01111111101011001111,15
27103,294815,01000111111110011111,14
27135,130559,00011111110111111111,16
27227,128443,00011111010110111011,13
27247,511343,01111100110101101111,14
27263,357247,01010111001101111111,14
27327,898751,11011011011010111111,15
27367,1011575,11110110111101110111,16
27387,392667,01011111110111011011,15
27419,478203,01110100101111111011,14
27519,614015,10010101111001111111,14
27583,120255,00011101010110111111,13
27647,912383,11011110101111111111,17
27775,179583,00101011110101111111,14
27803,433531,01101001110101111011,13
27807,449503,01101101101111011111,15
27815,420791,01100110101110110111,13
27887,374767,01011011011111101111,15
27899,637915,10011011101111011011,14
27931,996859,11110011010111111011,15
27967,1047359,11111111101100111111,17
28007,261623,00111111110111110111,16
28111,489167,01110111011011001111,14
28159,403967,01100010100111111111,13
28207,874415,11010101011110101111,14
28271,489839,01110111100101101111,14
28287,1048447,11111111111101111111,19
28315,908155,11011101101101111011,15
28391,750455,10110111001101110111,14
28399,1030639,11111011100111101111,16
28415,651007,10011110111011111111,16
28443,976891,11101110011111111011,16
28519,114679,00011011111111110111,15
28575,253151,00111101110011011111,14
28583,243383,00111011011010110111,13
28607,698815,10101010100110111111,13
28671,94207,00010110111111111111,15
28699,256763,00111110101011111011,14
28719,126383,00011110110110101111,13
28743,212695,00110011111011010111,13
28763,894907,11011010011110111011,14
28783,896879,11011010111101101111,15
28831,800735,11000011011111011111,14
28839,380855,01011100111110110111,14
28863,506047,01111011100010111111,14
28895,970399,11101100111010011111,14
28911,422895,01100111001111101111,14
28923,245723,00111011111111011011,15
28975,326319,01001111101010101111,13
28991,753471,10110111111100111111,16
29119,648127,10011110001110111111,14
